text,label
"Credit spreads tighten, indicating improving risk appetite in bond markets",bullish
"Semiconductor orders rise sharply, pointing to tech sector recovery",bullish
"New home sales exceed expectations as builders offer rate buydowns",bullish
"Corporate profit margins expected to expand as input costs decline",bullish
"Fund managers increase equity allocation to highest level since January",bullish
"Warning signs flash as consumer credit card delinquencies spike",bearish
"Commercial bank lending standards tighten further, credit crunch fears mount",bearish
"IPO market remains frozen as companies delay public listings",bearish
"Geopolitical tensions escalate, crude oil supply disruption risks increase",bearish
"Major retailer announces store closures, cites changing consumer behavior",bearish
"Global shipping volumes decline for third straight month",bearish
"Corporate bond defaults rise to highest level since financial crisis",bearish
"Institutional investors reduce risk exposure ahead of policy uncertainty",bearish
"PMI data suggests manufacturing sector entering period of contraction",bearish
"Consumer spending flat as savings rate drops to concerning levels",neutral
"Market volatility index settles near long-term average levels",neutral
"Equal-weight index outperforms cap-weighted as leadership broadens",neutral
